# slug | brand | code | assigned_leaf | price | title | description
bosch-17002811 | Bosch | 17002811 | cooking-accessories | 496.24 | "Long Life recirculation kit" | "Long Life recirculation kit"
bosch-17006185 | Bosch | 17006185 | cooking-accessories | 103.81 | "Pro Induction Frying Pan - 28cm" | "Pro Induction Frying Pan - 28cm"
bosch-17006589 | Bosch | 17006589 | cooking-accessories | 79.14 | "Clean Air Standard recirculation kit" | "Clean Air Standard recirculation kit"
bosch-17006593 | Bosch | 17006593 | cooking-accessories | 46.72 | "Clean Air Standard odor filter (repl.)" | "Clean Air Standard odor filter (repl.)"
bosch-17006594 | Bosch | 17006594 | cooking-accessories | 72.68 | "Clean Air Standard recirculation kit" | "Clean Air Standard recirculation kit"
bosch-17006597 | Bosch | 17006597 | cooking-accessories | 57.52 | "Plinth Diffusor Plinth Diffusor" | "Plinth Diffusor Plinth Diffusor"
bosch-17006770 | Bosch | 17006770 | cooking-accessories | 68.14 | "Clean Air Standard odor filter (repl.)" | "Clean Air Standard odor filter (repl.)"
bosch-17006771 | Bosch | 17006771 | cooking-accessories | 106.62 | "Clean Air Standard recirculation kit" | "Clean Air Standard recirculation kit"
bosch-17007151 | Bosch | 17007151 | cooking-accessories | 155.81 | "Flex Frying Pan, large" | "Flex Frying Pan, large"
bosch-17007154 | Bosch | 17007154 | cooking-accessories | 218.59 | "Pro Induction Flex Pan Set - 3 Pieces" | "Pro Induction Flex Pan Set - 3 Pieces"
bosch-17007157 | Bosch | 17007157 | cooking-accessories | 346.1 | "Pro Induction Flex Pan Set - 4 Pieces" | "Pro Induction Flex Pan Set - 4 Pieces"
bosch-17007160 | Bosch | 17007160 | cooking-accessories | 209.96 | "Teppan Yaki Plate" | "Teppan Yaki Plate"
bosch-17007163 | Bosch | 17007163 | cooking-accessories | 37.24 | "Grill tray AirFry tray, 35 x 455 x 375 mm, anthracite enamelled" | "Grill tray AirFry tray"
bosch-17007180 | Bosch | 17007180 | cooking-accessories | 164.1 | "Standard recirculation kit Recirculation kit S and L-bow (60cm)" | "Standard recirculation kit Recirculation kit S and L-bow (60cm)"
bosch-17007181 | Bosch | 17007181 | cooking-accessories | 162.94 | "Standard recirculation kit Recirculation kit 2 L-bow (70cm)" | "Standard recirculation kit Recirculation kit 2 L-bow (70cm)"
bosch-17007182 | Bosch | 17007182 | cooking-accessories | 142.84 | "Standard recirculation kit Exhaust kit" | "Standard recirculation kit Exhaust kit"
bosch-17007258 | Bosch | 17007258 | cooking-accessories | 43.38 | "Air Fry and Grill Tray For Ovens" | "Air Fry and Grill Tray For Ovens"
bosch-17007259 | Bosch | 17007259 | cooking-accessories | 88.27 | "Telescopic rails 1 level" | "Telescopic rails 1 level"
bosch-17007412 | Bosch | 17007412 | cooking-accessories | 104.35 | "Clean Air Plus odor filter (replacement)" | "Clean Air Plus odor filter (replacement)"
bosch-17007521 | Bosch | 17007521 | cooking-accessories | 175.92 | "Full extension rails 3-fold 3-level telescopic oven rails - full extendable not for pyrolysis, max. 12 kg" | "Full extension rails 3-fold 3-level telescopic oven rails - full extendable"
bosch-17007754 | Bosch | 17007754 | cooking-accessories | 111.73 | "Clean Air Plus recirculation kit Basic kit (partly-)ducted recirculation Diffusor,tape and odor filter" | "Clean Air Plus recirculation kit Basic kit (partly-)ducted recirculation"
bosch-17008121 | Bosch | 17008121 | cooking-accessories | 961.04 | "Long Life odor filter Long Life odor filter (replacement)" | "Long Life odor filter Long Life odor filter (replacement)"
bosch-17008123 | Bosch | 17008123 | cooking-accessories | 145.84 | "Wireless Meat Probe" | "Wireless Meat Probe"
bosch-17008355 | Bosch | 17008355 | cooking-accessories | 122.54 | "Clean Air Plus odor filter (replacement)" | "Clean Air Plus odor filter (replacement)"
bosch-17008422 | Bosch | 17008422 | cleaning-products | 7.25 | "Replacement Blades for Glass Scraper" | "Replacement Blades for Glass Scraper"
bosch-bfl523mb0b | Bosch | BFL523MB0B | microwaves | 389 | "Series 4 Built-in microwave oven Black" | "Series 4 Built-in microwave oven"
bosch-bfl523ms0b | Bosch | BFL523MS0B | microwaves | 389 | "Series 4 Built-in microwave oven Stainless steel" | "Series 4 Built-in microwave oven"
bosch-bfl523ms3b | Bosch | BFL523MS3B | microwaves | no-price | "Series 2 Built-in microwave oven Stainless steel" | "Series 2 Built-in microwave oven"
bosch-bfl553mb0b | Bosch | BFL553MB0B | microwaves | no-price | "Series 4 Built-in microwave oven 59 x 38 cm Black" | "Series 4 Built-in microwave oven"
bosch-bfl553ms0b | Bosch | BFL553MS0B | microwaves | no-price | "Series 4 Built-in microwave oven 59 x 38 cm Stainless steel" | "Series 4 Built-in microwave oven"
bosch-bfl7221b1b | Bosch | BFL7221B1B | microwaves | no-price | "Series 8 Built-in microwave oven Black" | "Series 8 Built-in microwave oven"
bosch-bic510nb0 | Bosch | BIC510NB0 | warming-drawers | 399 | "Series 6 Built-in warming drawer 60 x 14 cm Black" | "Series 6 Built-in warming drawer"
bosch-bic510ns0b | Bosch | BIC510NS0B | warming-drawers | no-price | "Series 6 Built-in warming drawer 60 x 14 cm Stainless steel" | "Series 6 Built-in warming drawer"
bosch-bic7101b1b | Bosch | BIC7101B1B | warming-drawers | no-price | "Series 8 Built-in warming drawer 60 x 14 cm Black" | "Series 8 Built-in warming drawer"
bosch-bid7101b1b | Bosch | BID7101B1B | warming-drawers | no-price | "Series 8 Built-in warming drawer 60 x 29 cm Black" | "Series 8 Built-in warming drawer"
bosch-ceg732xb1b | Bosch | CEG732XB1B | microwaves | no-price | "Series 8 Built-in microwave oven 60 x 45 cm Black" | "Series 8 Built-in microwave oven"
bosch-cma583mb0b | Bosch | CMA583MB0B | ovens | 699 | "Series 4 Built-in microwave oven with hot air 60 x 45 cm Black" | "Series 4 Built-in microwave oven with hot air"
bosch-cma583ms0b | Bosch | CMA583MS0B | ovens | 699 | "Series 4 Built-in microwave oven with hot air 60 x 45 cm Stainless steel" | "Series 4 Built-in microwave oven with hot air"
bosch-cmg7241b1b | Bosch | CMG7241B1B | ovens | 1099 | "Series 8 Built-in compact oven with microwave function 60 x 45 cm Black" | "Series 8 Built-in compact oven with microwave function"
bosch-cmg7361b1b | Bosch | CMG7361B1B | ovens | no-price | "Series 8 Built-in compact oven with microwave function 60 x 45 cm Black" | "Series 8 Built-in compact oven with microwave function"
bosch-cmg7761b1b | Bosch | CMG7761B1B | ovens | no-price | "Series 8 Built-in compact oven with microwave function 60 x 45 cm Black" | "Series 8 Built-in compact oven with microwave function"
bosch-cmg778nb1 | Bosch | CMG778NB1 | ovens | no-price | "Series 8 Built-in compact oven with microwave function 60 x 45 cm Black" | "Series 8 Built-in compact oven with microwave function"
bosch-csg7361b1 | Bosch | CSG7361B1 | ovens | no-price | "Series 8 Built-in compact oven with steam function 60 x 45 cm Black" | "Series 8 Built-in compact oven with steam function"
bosch-csg7584b1 | Bosch | CSG7584B1 | ovens | no-price | "Series 8 Built-in compact oven with steam function 60 x 45 cm Black" | "Series 8 Built-in compact oven with steam function"
bosch-dbb63bc60b | Bosch | DBB63BC60B | cooker-hoods | no-price | "Series 2 Integrated Design Hood 60 cm Matt black" | "Series 2 Integrated Design Hood"
bosch-dbb65cc60b | Bosch | DBB65CC60B | cooker-hoods | no-price | "Series 4 Integrated Design Hood 60 cm clear glass, Matt black" | "Series 4 Integrated Design Hood"
bosch-dbb67am60b | Bosch | DBB67AM60B | cooker-hoods | no-price | "Series 6 Integrated Design Hood 60 cm clear glass black printed, Black" | "Series 6 Integrated Design Hood"
bosch-dbb67dp60b | Bosch | DBB67DP60B | cooker-hoods | no-price | "Series 6 Integrated Design Hood 60 cm clear glass black printed, Matt black" | "Series 6 Integrated Design Hood"
bosch-dbb83bc60b | Bosch | DBB83BC60B | cooker-hoods | no-price | "Series 2 Integrated Design Hood 80 cm Matt black" | "Series 2 Integrated Design Hood"
bosch-dbb85cc60b | Bosch | DBB85CC60B | cooker-hoods | no-price | "Series 4 Integrated Design Hood 80 cm clear glass, Matt black" | "Series 4 Integrated Design Hood"
bosch-dbb97am60b | Bosch | DBB97AM60B | cooker-hoods | no-price | "Series 6 Integrated Design Hood 90 cm clear glass black printed, Black" | "Series 6 Integrated Design Hood"
bosch-dbb97dp60b | Bosch | DBB97DP60B | cooker-hoods | no-price | "Series 6 Integrated Design Hood 90 cm clear glass black printed, Matt black" | "Series 6 Integrated Design Hood"
bosch-dem66ac00b | Bosch | DEM66AC00B | cooker-hoods | no-price | "Series 2 Integrated cooker hood 60 cm Silver" | "Series 2 Integrated cooker hood"
bosch-dfm063w56b | Bosch | DFM063W56B | cooker-hoods | no-price | "Series 2 Telescopic cooker hood 60 cm Silver metallic" | "Series 2 Telescopic cooker hood"
bosch-dfm063w57b | Bosch | DFM063W57B | cooker-hoods | no-price | "Series 2 Telescopic cooker hood 60 cm Silver metallic" | "Series 2 Telescopic cooker hood"
bosch-dfs067a51b | Bosch | DFS067A51B | cooker-hoods | no-price | "Series 4 Telescopic cooker hood 60 cm Silver metallic" | "Series 4 Telescopic cooker hood"
bosch-dfs097a51b | Bosch | DFS097A51B | cooker-hoods | no-price | "Series 4 Telescopic cooker hood 90 cm Silver metallic" | "Series 4 Telescopic cooker hood"
bosch-dln53aa70b | Bosch | DLN53AA70B | cooker-hoods | 149 | "Series 2 Canopy cooker hood 53 cm Grey" | "Series 2 Canopy cooker hood"
bosch-dln56ac60b | Bosch | DLN56AC60B | cooker-hoods | no-price | "Series 6 Canopy cooker hood 52 cm Black" | "Series 6 Canopy cooker hood"
bosch-dln77ac60b | Bosch | DLN77AC60B | cooker-hoods | no-price | "Series 6 Canopy cooker hood 70 cm Black" | "Series 6 Canopy cooker hood"
bosch-dln87ac60b | Bosch | DLN87AC60B | cooker-hoods | no-price | "Series 6 Canopy cooker hood 86 cm Black" | "Series 6 Canopy cooker hood"
bosch-drc97aq50b | Bosch | DRC97AQ50B | cooker-hoods | no-price | "Series 6 Ceiling cooker hood 90 cm Stainless steel" | "Series 6 Ceiling cooker hood"
bosch-dul63cc50b | Bosch | DUL63CC50B | cooker-hoods | 179 | "Series 4 Built-under cooker hood 60 cm Stainless steel" | "Series 4 Built-under cooker hood"
bosch-dwb64bc50b | Bosch | DWB64BC50B | cooker-hoods | 279 | "Series 2 Wall-mounted cooker hood 60 cm Stainless steel" | "Series 2 Wall-mounted cooker hood"
bosch-dwb65cc30b | Bosch | DWB65CC30B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 60 cm Stainless steel look" | "Series 4 Wall-mounted cooker hood"
bosch-dwb65cc60b | Bosch | DWB65CC60B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 60 cm Matt black" | "Series 4 Wall-mounted cooker hood"
bosch-dwb66bc60b | Bosch | DWB66BC60B | cooker-hoods | 299 | "Series 2 Wall-mounted cooker hood 60 cm Black" | "Series 2 Wall-mounted cooker hood"
bosch-dwb67dn60b | Bosch | DWB67DN60B | cooker-hoods | no-price | "Series 6 Wall-mounted cooker hood 60 cm Matt black" | "Series 6 Wall-mounted cooker hood"
bosch-dwb95cc30b | Bosch | DWB95CC30B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 90 cm Stainless steel look" | "Series 4 Wall-mounted cooker hood"
bosch-dwb95cc60b | Bosch | DWB95CC60B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 90 cm Matt black" | "Series 4 Wall-mounted cooker hood"
bosch-dwb96bc60b | Bosch | DWB96BC60B | cooker-hoods | 349 | "Series 2 Wall-mounted cooker hood 90 cm Black" | "Series 2 Wall-mounted cooker hood"
bosch-dwb97dn60b | Bosch | DWB97DN60B | cooker-hoods | no-price | "Series 6 Wall-mounted cooker hood 90 cm Matt black" | "Series 6 Wall-mounted cooker hood"
bosch-dwk65dk60b | Bosch | DWK65DK60B | cooker-hoods | 329 | "Series 2 Wall-mounted cooker hood 60 cm clear glass black printed, Black" | "Series 2 Wall-mounted cooker hood"
bosch-dwk67fn60b | Bosch | DWK67FN60B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 60 cm clear glass black printed, Black" | "Series 4 Wall-mounted cooker hood"
bosch-dwk85dk60b | Bosch | DWK85DK60B | cooker-hoods | 349 | "Series 2 Wall-mounted cooker hood 80 cm clear glass black printed, Black" | "Series 2 Wall-mounted cooker hood"
bosch-dwk87fn60b | Bosch | DWK87FN60B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 80 cm clear glass black printed, Black" | "Series 4 Wall-mounted cooker hood"
bosch-dwk91lt60b | Bosch | DWK91LT60B | cooker-hoods | no-price | "Series 8 Wall-mounted cooker hood 90 cm clear glass black printed, Black" | "Series 8 Wall-mounted cooker hood"
bosch-dwp64bc50b | Bosch | DWP64BC50B | cooker-hoods | no-price | "Series 2 Wall-mounted cooker hood 60 cm Stainless steel" | "Series 2 Wall-mounted cooker hood"
bosch-dwp64cc50m | Bosch | DWP64CC50M | cooker-hoods | no-price | "Series 2 Wall-mounted cooker hood 60 cm Stainless steel" | "Series 2 Wall-mounted cooker hood"
bosch-dwp74bc50b | Bosch | DWP74BC50B | cooker-hoods | 279 | "Series 2 Wall-mounted cooker hood 75 cm Stainless steel" | "Series 2 Wall-mounted cooker hood"
bosch-dwp94bc50b | Bosch | DWP94BC50B | cooker-hoods | no-price | "Series 2 Wall-mounted cooker hood 90 cm Stainless steel" | "Series 2 Wall-mounted cooker hood"
bosch-dwq66dm50b | Bosch | DWQ66DM50B | cooker-hoods | 499 | "Series 4 Wall-mounted cooker hood 60 cm Stainless steel" | "Series 4 Wall-mounted cooker hood"
bosch-dwq96dm50b | Bosch | DWQ96DM50B | cooker-hoods | no-price | "Series 4 Wall-mounted cooker hood 90 cm Stainless steel" | "Series 4 Wall-mounted cooker hood"
bosch-dwz1fb1b6 | Bosch | DWZ1FB1B6 | cooking-accessories | no-price | "Clean Air Plus odor filter replacement" | "Clean Air Plus odor filter replacement"
bosch-dwz1fb3i6 | Bosch | DWZ1FB3I6 | cooking-accessories | no-price | "Long-life Clean Air recirculation kit Stainless steel look" | "Long-life Clean Air recirculation kit"
bosch-dwz1fb6i6 | Bosch | DWZ1FB6I6 | cooking-accessories | no-price | "Long-life Clean Air recirculation kit Black" | "Long-life Clean Air recirculation kit"
bosch-dwz1fb6k2 | Bosch | DWZ1FB6K2 | cooking-accessories | no-price | "Chimney extension 1000 mm Matt black" | "Chimney extension"
bosch-dwz1ib1i6 | Bosch | DWZ1IB1I6 | cooking-accessories | no-price | "Long-life Clean Air recirculation kit" | "Long-life Clean Air recirculation kit"
bosch-dwz1ib1j6 | Bosch | DWZ1IB1J6 | cooking-accessories | no-price | "Long-life Clean Air recirculation kit" | "Long-life Clean Air recirculation kit"
bosch-dwz1ib6k2 | Bosch | DWZ1IB6K2 | cooking-accessories | no-price | "Chimney extension 450-854 mm Matt black" | "Chimney extension"
bosch-dwz1ib6n2 | Bosch | DWZ1IB6N2 | cooking-accessories | no-price | "Chimney extension 187-360 mm Matt black" | "Chimney extension"
bosch-dwz1kk1v6 | Bosch | DWZ1KK1V6 | cooking-accessories | no-price | "Clean Air Plus recirculation kit, initial equipment" | "Clean Air Plus recirculation kit, initial equipment"
bosch-fel023ms2b | Bosch | FEL023MS2B | microwaves | 169 | "Series 2 Freestanding microwave with grill 44 x 26 cm Stainless steel" | "Series 2 Freestanding microwave with grill"
bosch-ffl020ms2b | Bosch | FFL020MS2B | microwaves | 129 | "Series 2 Freestanding microwave 44 x 26 cm Stainless steel" | "Series 2 Freestanding microwave"
bosch-ffl023ms2b | Bosch | FFL023MS2B | microwaves | 149 | "Series 2 Freestanding microwave 44 x 26 cm Stainless steel" | "Series 2 Freestanding microwave"
bosch-ffl023mw0b | Bosch | FFL023MW0B | microwaves | 139 | "Series 2 Freestanding microwave 44 x 26 cm White" | "Series 2 Freestanding microwave"
bosch-hbg7341b1b | Bosch | HBG7341B1B | ovens | 749 | "Series 8 Built-in oven 60 x 60 cm Black" | "Series 8 Built-in oven"
bosch-hbg7741b1b | Bosch | HBG7741B1B | ovens | 849 | "Series 8 Built-in oven 60 x 60 cm Black" | "Series 8 Built-in oven"
bosch-hbg7764b1b | Bosch | HBG7764B1B | ovens | no-price | "Series 8 Built-in oven 60 x 60 cm Black" | "Series 8 Built-in oven"
bosch-hbg7784b1 | Bosch | HBG7784B1 | ovens | no-price | "Series 8 Built-in oven 60 x 60 cm Black" | "Series 8 Built-in oven"
bosch-hhf113ba0b | Bosch | HHF113BA0B | ovens | 279 | "Series 2 Built-in oven 60 x 60 cm Black" | "Series 2 Built-in oven"
bosch-hhf113br0b | Bosch | HHF113BR0B | ovens | 329 | "Series 2 Built-in oven 60 x 60 cm Stainless steel" | "Series 2 Built-in oven"
bosch-hhf133bs0b | Bosch | HHF133BS0B | ovens | no-price | "Series 2 Built-in oven 60 x 60 cm Stainless steel" | "Series 2 Built-in oven"
bosch-hmg7764b1b | Bosch | HMG7764B1B | ovens | no-price | "Series 8 Built-in oven with microwave function 60 x 60 cm Black" | "Series 8 Built-in oven with microwave function"
bosch-hqa534bb3b | Bosch | HQA534BB3B | ovens | 399 | "Series 4 Built-in oven with added steam function 60 x 60 cm Black" | "Series 4 Built-in oven with added steam function"
