# slug | brand | code | assigned_leaf | price | title | description
neff-11057829 | Neff | 11057829 | dishwasher-accessories | 9.92 | "Cutlery basket Cutlery Basket" | "Cutlery basket Cutlery Basket"
neff-17004074 | Neff | 17004074 | cooker-hood-accessories | 703.36 | "Clean Air Plus recirculation kit external white" | "Clean Air Plus recirculation kit external white"
neff-17004084 | Neff | 17004084 | cooker-hood-accessories | 78.91 | "Clean Air Plus Odor Filter" | "Clean Air Plus Odor Filter"
neff-17004085 | Neff | 17004085 | cooker-hood-accessories | 97.61 | "Clean Air Plus Odor Filter" | "Clean Air Plus Odor Filter"
neff-17004098 | Neff | 17004098 | hob-accessories | 101.18 | "BergHOFF Cookware Set: 3 Piece" | "BergHOFF Cookware Set: 3 Piece"
neff-17004533 | Neff | 17004533 | cooker-hood-accessories | 848.84 | "For recirculation operation" | "For recirculation operation"
neff-17004534 | Neff | 17004534 | cooker-hood-accessories | 763.96 | "For recirculation operation" | "For recirculation operation"
neff-17004802 | Neff | 17004802 | hob-accessories | 79.96 | "Acoustics Filter: 4 Pack" | "Acoustics Filter: 4 Pack"
neff-17005032 | Neff | 17005032 | hob-accessories | 19.66 | "Ventilation channel Flat duct 500 mm Black" | "Ventilation channel Flat duct 500 mm Black"
neff-17005033 | Neff | 17005033 | hob-accessories | 31.36 | "Ventilation channel Flat duct 1000 mm Black" | "Ventilation channel Flat duct 1000 mm Black"
neff-17005037 | Neff | 17005037 | hob-accessories | 32.8 | "Installation accessory Flat duct 90 ° vertical M" | "Installation accessory Flat duct 90 ° vertical M"
neff-17005040 | Neff | 17005040 | hob-accessories | 37.36 | "Installation accessory Flat duct 150 mm connector sleeve female" | "Installation accessory Flat duct 150 mm"
neff-17005356 | Neff | 17005356 | hob-accessories | 37.36 | "Installation accessory Flat duct 90 ° horizontal" | "Installation accessory Flat duct 90 ° horizontal"
neff-17005357 | Neff | 17005357 | hob-accessories | 34.16 | "Installation accessory Flat duct 90 ° vertical L" | "Installation accessory Flat duct 90 ° vertical L"
neff-17005360 | Neff | 17005360 | hob-accessories | 35.27 | "Installation accessory Adapter duct 150 mm round-flat" | "Installation accessory Adapter duct 150 mm"
neff-17005727 | Neff | 17005727 | hob-accessories | 101.32 | "Pro Induction Espresso Maker" | "Pro Induction Espresso Maker"
neff-17005938 | Neff | 17005938 | hob-accessories | 14.2 | "Wok Ring" | "Wok Ring"
neff-17006017 | Neff | 17006017 | hob-accessories | 75.6 | "Pro Induction Pasta metal inlay 24 cm" | "Pro Induction Pasta metal inlay 24 cm"
neff-17006178 | Neff | 17006178 | hob-accessories | 33.34 | "Installation accessory 90° flat duct S vertical" | "Installation accessory 90° flat duct S vertical"
neff-17006179 | Neff | 17006179 | cooking-accessories | 98.78 | "Installation accessory Flat duct 150 mm connector sleeve female" | "Installation accessory Flat duct 150 mm"
neff-17006180 | Neff | 17006180 | hob-accessories | 70.79 | "Pro Induction Saucepan - 16cm, 1.5L" | "Pro Induction Saucepan - 16cm, 1.5L"
neff-17006181 | Neff | 17006181 | hob-accessories | 75.66 | "Pro Induction Pot With Lid - 16cm, 2L" | "Pro Induction Pot With Lid - 16cm, 2L"
neff-17006182 | Neff | 17006182 | hob-accessories | 78.77 | "Pro Induction Pot With Lid - 20cm, 3.5L" | "Pro Induction Pot With Lid - 20cm, 3.5L"
neff-17006183 | Neff | 17006183 | hob-accessories | 86.46 | "Pro Induction Pot With Lid - 24cm, 5.5L" | "Pro Induction Pot With Lid - 24cm, 5.5L"
neff-17006184 | Neff | 17006184 | hob-accessories | 94.24 | "Pro Induction Frying Pan - 24cm" | "Pro Induction Frying Pan - 24cm"
neff-17006185 | Neff | 17006185 | hob-accessories | 103.81 | "Pro Induction Frying Pan - 28cm" | "Pro Induction Frying Pan - 28cm"
neff-17006626 | Neff | 17006626 | hob-accessories | 53.64 | "Plinth Diffusor Plinth Diffusor" | "Plinth Diffusor Plinth Diffusor"
neff-17007000 | Neff | 17007000 | refrigeration-accessories | 17.44 | "Ethylene Absorber Refill Kit" | "Ethylene Absorber Refill Kit"
neff-17007153 | Neff | 17007153 | hob-accessories | 155.81 | "Pro Induction Flex Pan - Large" | "Pro Induction Flex Pan - Large"
neff-17007156 | Neff | 17007156 | hob-accessories | 213.07 | "Pro Induction Flex Pan Set - 3 Pieces" | "Pro Induction Flex Pan Set - 3 Pieces"
neff-17007159 | Neff | 17007159 | hob-accessories | 346.1 | "Pro Induction Flex Pan Set - 4 Pieces" | "Pro Induction Flex Pan Set - 4 Pieces"
neff-17007162 | Neff | 17007162 | hob-accessories | 209.96 | "Flex Teppan Yaki Plate" | "Flex Teppan Yaki Plate"
neff-17007180 | Neff | 17007180 | cooker-hood-accessories | 164.1 | "Standard recirculation kit Recirculation kit S and L-bow (60cm)" | "Standard recirculation kit Recirculation kit S and L-bow (60cm)"
neff-17007181 | Neff | 17007181 | cooker-hood-accessories | 162.94 | "Standard recirculation kit Recirculation kit 2 L-bow (70cm)" | "Standard recirculation kit Recirculation kit 2 L-bow (70cm)"
neff-17007182 | Neff | 17007182 | cooker-hood-accessories | 142.84 | "Standard recirculation kit Exhaust kit" | "Standard recirculation kit Exhaust kit"
neff-17007439 | Neff | 17007439 | hob-accessories | 104.35 | "Clean Air Plus odor filter (replacement)" | "Clean Air Plus odor filter (replacement)"
neff-17007521 | Neff | 17007521 | cooking-accessories | 175.92 | "Full extension rails 3-fold 3-level telescopic oven rails - full extendable not for pyrolysis, max. 12 kg" | "Full extension rails 3-fold 3-level telescopic oven rails - full extendable"
neff-17007554 | Neff | 17007554 | cooking-accessories | 99.96 | "Telescopic rails 1 level full extension ClipRail, pair; not for pyrolysis, max. 15 kg" | "Telescopic rails 1 level full extension ClipRail, pair;"
